id,date,count,name,codes
1039,2021-02-06,306,Data Exploration and Analysis,ENV 757 / PLSC 530 / S&DS 230 / S&DS 530
664,2021-02-06,297,Introductory Macroeconomics,ECON 116
369,2021-02-06,259,Prep: Admission to Candidacy,CAND 999
747,2021-02-06,255,Social Psychology,EDST 160 / PSYC 150
2501,2021-02-06,252,Bioethics and Law,PLSC 257
2440,2021-02-06,248,General Physics Laboratory,PHYS 166L
305,2021-02-06,245,Frontiers&ContrvrsiesAstrophys,ASTR 160
671,2021-02-06,234,Game Theory,ECON 159 / GLBL 159 / GLBL 659
423,2021-02-06,221,GeneralChemistry Laboratory II,CHEM 136L
2443,2021-02-06,215,University Physics,PHYS 181
