id,yesterday,today,change,absChange,name,codes
773,7,6,-1,1,NtwrkAlgrthms&StchstcOptmztn,EENG 455
1437,10,9,-1,1,The Art of Biography,HIST 215J
2075,33,32,-1,1,"Strategy, Technology, and War",PLSC 172
2204,10,9,-1,1,Noise,MUSI 470
2254,10,9,-1,1,Noise,MUSI 470
2501,253,252,-1,1,Bioethics and Law,PLSC 257
2508,12,11,-1,1,Politics and the Supreme Court,PLSC 278
2592,200,199,-1,1,Introduction to Psychology,PSYC 110
2613,23,22,-1,1,Changing One's Mind,PSYC 434
2863,19,18,-1,1,Decision Theory,S&DS 411
