id,name,codes,count,times
1633,Contexts of College Education,HUMS 116 / LITR 103,91,W 19.00-20.00 + 1
925,Daily Themes,ENGL 450,69,M 13.30-15.20
652,Japanese Screens,EAST 474 / HSAR 484,59,F 9.25-11.15
421,Senior Project,CGSC 491 / CGSC 491,42,T 13.30-15.20 + 1
1236,Close Analysis of Film,FILM 320 / HSAR 490,37,T 15.30-17.20 + 1
1250,The Films of Alfred Hitchcock,FILM 411 / LITR 380,36,W 15.30-17.20
601,Principles of Ecol & Evolution,E&EB 223L / E&EB 223L / E&EB 223L,34,T 13.30-16.30
1186,Extreme and Radical Right,ER&M 376 / ER&M 376 / MGRK 304 / MGRK 304 / PLSC 376 / PLSC 376 / SOCY 307 / SOCY 307,33,F 13.30-15.20
2775,The Bhagavad Gita,RLST 183 / SAST 366,31,W 13.30-15.20
704,Cooperative Game Theory,ECON 471 / EP&E 297,30,F 9.25-11.15
1959,Lab:BiologyOfReproductn&Devel,MCDB 251L / MCDB 251L / MCDB 251L,30,T 13.30-17.30
2270,Naval Science Laboratory,NAVY 100,30,F 7.00-9.00
